ts_code,agent_score,agent_risk_level,agent_veto,agent_adjustment,agent_reason
688256.SH,0.25,high,True,-0.2,科创板高波动，日内从高点大幅回落，尾盘结构弱势，不适合一夜持股
600188.SH,0.9,low,False,0.15,评分最高，尾盘紧贴日高，回撤极小，煤炭强势
600886.SH,0.88,low,False,0.13,水电防御性强，尾盘结构健康，回撤小
600027.SH,0.92,low,False,0.18,火电日内几乎收于最高，极低回撤，结构最优
600011.SH,0.82,low,False,0.1,火电次选，尾盘位置较高但略弱于华电国际
600362.SH,0.78,low,False,0.08,铜板块强势，涨幅较高且回撤可控
603799.SH,0.55,medium,False,-0.05,小金属股，日内回撤略大，动能相对偏弱
605117.SH,0.6,medium,False,-0.1,涨幅过高存在透支风险，需谨慎追入
000630.SZ,0.68,low,False,0.03,铜板块，涨幅适中，回撤小，流动性良好
000333.SZ,0.65,medium,False,0.0,家电龙头，涨幅稳健但弹性一般
000792.SZ,0.6,medium,False,-0.02,农药化肥，日内回撤较大，上冲动能稍弱
601939.SH,0.3,low,False,-0.15,银行股波动极低，隔夜收益预期有限
300124.SZ,0.62,medium,False,0.0,创业板工控龙头，涨幅适中，但波动大于主板
601816.SH,0.3,low,False,-0.15,铁路低波动标的，弹性不足，不适合短炒
000166.SZ,0.35,low,False,-0.1,券商涨幅较小，日内弹性一般
